id,label
0,6
1,4
2,0
3,6
4,3
5,3
6,3
7,2
8,4
9,2
10,4
11,0
12,4
13,5
14,6
15,0
16,5
17,5
18,5
19,3
20,4
21,5
22,6
23,4
24,0
25,4
26,4
27,6
28,5
29,5
30,3
31,6
32,3
33,6
34,3
35,4
36,6
37,5
38,4
39,3
40,0
41,4
42,3
43,3
44,4
45,3
46,5
47,3
48,5
49,6
50,6
51,6
52,5
53,2
54,4
55,3
56,2
57,2
58,5
59,3
60,6
61,5
62,4
63,5
64,5
65,3
66,5
67,2
68,6
69,6
70,4
71,5
72,4
73,3
74,2
75,6
76,5
77,6
78,6
79,4
80,6
81,4
82,2
83,4
84,5
85,4
86,3
87,3
88,3
89,3
90,6
91,5
92,3
93,4
94,0
95,0
96,2
97,3
98,3
99,3
100,3
101,6
102,0
103,3
104,5
105,5
106,6
107,6
108,2
109,3
110,3
111,4
112,6
113,4
114,3
115,2
116,3
117,3
118,2
119,6
120,5
121,4
122,0
123,2
124,4
125,3
126,3
127,0
128,3
129,5
130,2
131,4
132,2
133,6
134,4
135,5
136,5
137,3
138,6
139,6
140,6
141,3
142,0
143,4
144,2
145,6
146,3
147,3
148,3
149,2
150,6
151,0
152,5
153,3
154,5
155,5
156,4
157,5
158,0
159,3
160,0
161,3
162,3
163,3
164,6
165,6
166,4
167,0
168,5
169,6
170,3
171,3
172,5
173,3
174,4
175,4
176,0
177,4
178,4
179,5
180,4
181,3
182,5
183,3
184,3
185,4
186,4
187,3
188,3
189,3
190,3
191,6
192,5
193,5
194,3
195,4
196,5
197,6
198,0
199,4
200,3
201,0
202,5
203,3
204,3
205,5
206,4
207,4
208,4
209,6
210,6
211,4
212,0
213,4
214,0
215,5
216,5
217,4
218,4
219,3
220,3
221,4
222,5
223,4
224,2
225,3
226,5
227,0
228,0
229,3
230,3
231,6
232,5
233,3
234,5
235,4
236,3
237,4
238,0
239,6
240,3
241,6
242,6
243,0
244,4
245,3
246,3
247,3
248,0
249,0
250,0
251,2
252,4
253,3
254,4
255,6
256,6
257,4
258,2
259,6
260,4
261,0
262,0
263,6
264,2
265,6
266,5
267,3
268,3
269,4
270,6
271,2
272,2
273,3
274,5
275,3
276,4
277,5
278,0
279,2
280,3
281,5
282,6
283,2
284,4
285,4
286,2
287,4
288,4
289,6
290,6
291,3
292,6
293,2
294,3
295,6
296,2
297,0
298,6
299,3
300,2
301,4
302,3
303,3
304,2
305,3
306,5
307,3
308,3
309,3
310,3
311,0
312,4
313,6
314,1
315,4
316,2
317,2
318,2
319,3
320,4
321,5
322,0
323,6
324,4
325,3
326,4
327,3
328,3
329,4
330,3
331,3
332,0
333,3
334,5
335,3
336,3
337,4
338,0
339,3
340,4
341,5
342,6
343,0
344,4
345,2
346,3
347,3
348,2
349,4
350,3
351,0
352,6
353,3
354,3
355,4
356,3
357,4
358,3
359,0
360,3
361,5
362,3
363,4
364,5
365,3
366,3
367,0
368,0
369,4
370,4
371,6
372,4
373,0
374,4
375,2
376,0
377,5
378,4
379,4
380,6
381,3
382,3
383,3
384,3
385,6
386,3
387,5
388,6
389,5
390,2
391,2
392,3
393,5
394,2
395,5
396,2
397,2
398,0
399,0
400,0
401,5
402,3
403,3
404,2
405,0
406,5
407,5
408,5
409,5
410,0
411,5
412,2
413,3
414,3
415,2
416,0
417,0
418,5
419,4
420,6
421,3
422,4
423,4
424,6
425,0
426,2
427,3
428,3
429,4
430,3
431,4
432,2
433,6
434,4
435,0
436,3
437,2
438,3
439,4
440,6
441,0
442,6
443,4
444,0
445,3
